Plot_ID,Type,Plot_Haglof,Plot_Radius,Tree_Nr,Tree_Spc,Strata,Tree_Dia,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,,,,,,,,,
T3,Treatment,505,7.89,25,QURU,Can,192,592,390,516,4.89,-0.31,4.9,93.62,-3,45.5585561,-84.6955068,,,,,,,,,
T3,Treatment,505,7.89,26,ACRU,Sub,56,525,323,463,4.28,-0.66,4.33,98.77,2,45.5585531,-84.6955148,,,,,,,,,
T4,Treatment,507,7.89,1,QURU,Can,349,254,73,224,1.59,-0.06,1.6,92.15,5,45.5586628,-84.6953791,,,,,,,,,
T4,Treatment,507,7.89,2,PIST,Sub,16,272,78,236,1.82,-0.37,1.86,101.43,5,45.5586599,-84.6953763,,,,,,,,,
T4,Treatment,507,7.89,3,PIST,Sub,14,223,26,207,1.33,-0.47,1.41,109.46,2,45.5586592,-84.6953826,,,,,,,,,
T4,Treatment,507,7.89,4,ACRU,Sub,40,461,294,318,3.19,1.48,3.51,65.11,3,45.5586762,-84.6953581,,,,,,,,,
T4,Treatment,507,7.89,5,QURU,Can,368,474,319,321,2.94,1.91,3.51,56.94,-5,45.5586802,-84.6953611,,,,,,,,,
T4,Treatment,507,7.89,6,ACRU,Can,117,665,549,483,3.68,4.24,5.62,40.95,10,45.558701,-84.6953508,,,,,,,,,
T4,Treatment,507,7.89,7,ACRU,Can,144,695,586,515,3.75,4.6,5.94,39.15,6,45.5587042,-84.6953498,,,,,,,,,
T4,Treatment,507,7.89,8,PIST,Sub,20,671,605,481,2.31,5.41,5.88,23.12,-2,45.5587118,-84.6953679,,,,,,,,,
T4,Treatment,507,7.89,9,PIST,Sub,17,579,482,386,2.66,4.03,4.83,33.43,1,45.5586993,-84.6953639,,,,,,,,,
T4,Treatment,507,7.89,10,PIST,Sub,8,530,435,337,2.36,3.62,4.32,33.1,0,45.5586957,-84.6953679,,,,,,,,,
T4,Treatment,507,7.89,11,PIST,Sub,12,519,431,323,2.13,3.65,4.23,30.2,-3,45.5586961,-84.6953709,,,,,,,,,
T4,Treatment,507,7.89,12,PIST,Sub,25,475,369,289,2.33,2.94,3.75,38.4,-1,45.5586896,-84.6953686,,,,,,,,,
T4,Treatment,507,7.89,13,PIST,Sub,39,346,264,156,1.26,2.12,2.47,30.72,1,45.5586825,-84.6953826,,,,,,,,,
T4,Treatment,507,7.89,14,PIST,Sub,45,758,702,561,2.06,6.42,6.74,17.76,-3,45.558721,-84.6953708,,,,,,,,,
T4,Treatment,507,7.89,15,PIST,Sub,47,494,463,298,0.69,4.1,4.16,9.55,-1,45.5587004,-84.6953891,,,,,,,,,
T4,Treatment,507,7.89,16,PIST,Sub,48,438,464,268,-0.62,3.81,3.86,350.78,-3,45.5586982,-84.695406,,,,,,,,,
T4,Treatment,507,7.89,17,PIST,Sub,29,381,394,200,-0.28,3.2,3.21,355,2,45.5586926,-84.6954019,,,,,,,,,
